,Param,Variable
208,-0.0,ER OD*BP
209,-0.0,ER*BP OD
210,0.0,ER OD*CA OD
211,0.0,ER*CA
212,0.0,ER OD*CA
213,0.0,ER*CA OD
214,0.0,ER OD*EL OD
215,0.0,ER*EL
216,0.0,ER OD*EL
217,0.0157205848114414,ER*EL OD
218,-0.0,ER OD*FP OD
219,-1.8501148422361662,ER*FP
220,-0.0,ER OD*FP
221,-0.0,ER*FP OD
222,0.0,ER OD*CH OD
223,-0.0,ER*CH
224,0.0,ER OD*CH
225,-0.0,ER*CH OD
226,-0.0,ER OD*AC OD
227,-0.32935964275316415,ER*AC
228,-6.6571167589230695,ER OD*AC
229,-1.1422886948292954,ER*AC OD
230,0.0,ER OD*BH OD
231,0.0,ER*BH
232,0.0,ER OD*BH
233,0.0,ER*BH OD
234,0.0,ER OD*CG OD
235,0.0,ER*CG
236,0.0,ER OD*CG
237,0.2186048060436227,ER*CG OD
238,-0.0,RI OD*PC OD
239,-0.0,RI*PC
240,-0.0,RI OD*PC
241,-0.0,RI*PC OD
242,0.0,RI OD*PJ OD
243,-0.0,RI*PJ
244,0.0,RI OD*PJ
245,0.0,RI*PJ OD
246,-0.0,RI OD*BV OD
247,0.0,RI*BV
248,-0.0,RI OD*BV
249,-0.0,RI*BV OD
250,-0.0,RI OD*BF OD
251,0.0,RI*BF
252,0.0,RI OD*BF
253,-0.0,RI*BF OD
254,-0.0,RI OD*BO OD
255,-0.808673696142125,RI*BO
256,-0.0,RI OD*BO
257,-0.0,RI*BO OD
258,0.0,RI OD*BT OD
259,0.0,RI*BT
260,0.0,RI OD*BT
261,-0.0,RI*BT OD
262,-0.0,RI OD*BC OD
263,0.0,RI*BC
264,-0.0,RI OD*BC
265,-0.17874023003971362,RI*BC OD
266,0.0,RI OD*BY OD
267,-0.0,RI*BY
268,0.0,RI OD*BY
269,-2.7966691967658814,RI*BY OD
270,-0.0,RI OD*BU OD
271,-0.2753214074522088,RI*BU
272,-0.0,RI OD*BU
273,-0.20160486982896234,RI*BU OD
274,0.0,RI OD*DP OD
275,-0.0,RI*DP
276,0.0,RI OD*DP
277,-0.0,RI*DP OD
278,-0.0,RI OD*BL OD
279,0.0,RI*BL
280,-1.25040548685707,RI OD*BL
281,-0.0,RI*BL OD
282,-0.0,RI OD*BA OD
283,0.0,RI*BA
284,-0.0,RI OD*BA
285,-0.0,RI*BA OD
286,-0.0,RI OD*BP OD
287,-0.0,RI*BP
288,-0.0,RI OD*BP
289,-0.0,RI*BP OD
290,0.024555521626249913,RI OD*CA OD
291,0.0,RI*CA
292,0.0,RI OD*CA
293,9.346575004343755,RI*CA OD
294,0.0,RI OD*EL OD
295,-0.0,RI*EL
296,0.0,RI OD*EL
297,0.0,RI*EL OD
298,0.0,RI OD*FP OD
299,0.7854764623021334,RI*FP
300,-0.0,RI OD*FP
301,0.0,RI*FP OD
302,0.0,RI OD*CH OD
303,-0.0,RI*CH
304,-0.0,RI OD*CH
305,0.0,RI*CH OD
306,-0.0,RI OD*AC OD
307,-1.5367269132208603,RI*AC
308,-0.0,RI OD*AC
309,-0.8456653223078837,RI*AC OD
310,0.0,RI OD*BH OD
311,0.0,RI*BH
312,-0.0,RI OD*BH
313,0.0,RI*BH OD
314,0.0,RI OD*CG OD
315,0.7457100452762121,RI*CG
316,0.0,RI OD*CG
317,0.0,RI*CG OD
318,-0.0,RI OD*ER OD
319,-0.5542483620181073,RI*ER
320,-6.141405879254736,RI OD*ER
321,-1.358149623312945,RI*ER OD
322,0.0,CC OD*PC OD
323,-0.0,CC*PC
324,-0.0,CC OD*PC
325,0.0,CC*PC OD
326,0.0,CC OD*PJ OD
327,0.0,CC*PJ
328,0.0,CC OD*PJ
329,-0.0,CC*PJ OD
330,-0.0,CC OD*BV OD
331,0.0,CC*BV
332,-0.0,CC OD*BV
333,-0.0,CC*BV OD
334,-0.0,CC OD*BF OD
335,-0.0,CC*BF
336,-0.0,CC OD*BF
337,-0.7962395413869019,CC*BF OD
338,-0.0,CC OD*BO OD
339,-0.0,CC*BO
340,0.0,CC OD*BO
341,-0.5906580721710721,CC*BO OD
342,-0.0,CC OD*BT OD
343,-0.0,CC*BT
344,-0.4459027009310919,CC OD*BT
345,-3.563036394964336,CC*BT OD
346,-0.0,CC OD*BC OD
347,0.0,CC*BC
348,-0.0,CC OD*BC
349,-0.0,CC*BC OD
350,0.0,CC OD*BY OD
351,0.4546373569150359,CC*BY
352,1.3244948020797243,CC OD*BY
353,-0.0,CC*BY OD
354,-0.0,CC OD*BU OD
355,0.0,CC*BU
356,-0.0,CC OD*BU
357,-0.0,CC*BU OD
358,-0.0,CC OD*DP OD
359,-0.0,CC*DP
360,-6.361385990671584,CC OD*DP
361,-0.0,CC*DP OD
362,-0.0,CC OD*BL OD
363,-1.7632949092928312,CC*BL
364,-0.3451221724089332,CC OD*BL
365,-0.0,CC*BL OD
366,-0.0,CC OD*BA OD
367,-0.4755809511808174,CC*BA
368,-0.0,CC OD*BA
369,-0.0,CC*BA OD
370,-0.0,CC OD*BP OD
371,-0.0,CC*BP
372,-0.0,CC OD*BP
373,-0.0,CC*BP OD
374,-0.0,CC OD*CA OD
375,-0.3627048043324343,CC*CA
376,-0.0,CC OD*CA
377,-0.0,CC*CA OD
378,-0.0,CC OD*EL OD
379,-0.0,CC*EL
380,-0.0,CC OD*EL
381,0.0,CC*EL OD
382,-0.0,CC OD*FP OD
383,1.3354149891095706,CC*FP
384,0.0,CC OD*FP
385,-0.0,CC*FP OD
386,0.0,CC OD*CH OD
387,-0.0,CC*CH
388,-0.0,CC OD*CH
389,-0.0,CC*CH OD
390,-0.0,CC OD*AC OD
391,-1.6431679114304338,CC*AC
392,-0.0,CC OD*AC
393,-0.0,CC*AC OD
394,-0.0,CC OD*BH OD
395,0.27750745171899993,CC*BH
396,0.0,CC OD*BH
397,-0.0,CC*BH OD
398,-0.0,CC OD*CG OD
399,-0.0,CC*CG
400,-2.0899089033311076,CC OD*CG
401,0.0,CC*CG OD
402,-0.0,CC OD*ER OD
403,-0.0,CC*ER
404,-0.0,CC OD*ER
405,-0.0,CC*ER OD
406,-0.0,CC OD*RI OD
407,-1.9720088910988622,CC*RI
408,-0.0,CC OD*RI
409,-0.0,CC*RI OD
