Parameter,Factor
10.2443171421958,ZEROER
10.3429853611104,SSER
9.22735224106399,ZEROCC
2.82548352883389,SSCC
2.04267855800967,ZERORI
32.7014266688964,SSRI
-4.90856873312057,ZEROER*ZEROCC
-0.213129968652457,ZEROER*ZERORI
-52.1163094281736,ZEROER*SSRI
7.50181060906862,ZEROER*SSEL
7.63788654689751,ZEROER*SSDP
9.90400208046791,ZEROER*SSBH
7.18994442864931,ZEROER*SSCA
17.0302541050078,ZEROER*ZEROPJ
-3.24077486449276,ZEROER*ZERODL
-4.77690712777541,ZEROER*SSDL
-1.93919494657163,ZEROER*SSBO
-0.215609724795524,ZEROER*SSBT
5.7324659412196,ZEROER*SSBU
-1.872760273424,ZEROER*ZEROBV
-5.73499998837422,ZEROER*SSBV
-5.21107958738881,ZEROER*ZEROBC
-0.103070758978165,ZEROER*SSBC
1.52316811506316,ZEROER*ZERODF
0.437548394132716,ZEROER*SSDF
-1.76112202701486,ZEROER*ZEROBL
-7.97250411077507,ZEROER*ZEROBA
-4.69720439882796,SSER*ZERORI
2.61343070769042,SSER*SSRI
32.6541863044667,SSER*SSCH
12.3012303215128,SSER*SSBH
0.763816748287224,SSER*SSCA
-10.5577617668624,SSER*ZEROPC
-28.837697304235,SSER*SSPJ
5.31869966274803,SSER*SSCG
-16.6032603842353,SSER*SSBT
-3.75595382368159,SSER*ZEROBU
-5.82512672359598,SSER*ZEROBV
-7.35339600067722,SSER*ZEROBL
-6.76952142141698,SSER*ZEROBP
-2.5268293497233,ZEROCC*ZERORI
2.32493155912743,ZEROCC*SSCH
-3.79302781310821,ZEROCC*ZERODP
-2.26865338118224,ZEROCC*SSCA
0.74315016210314,ZEROCC*ZEROPJ
5.28787151784639,ZEROCC*SSPJ
-1.87409078329703,ZEROCC*ZERODL
-0.599539262529106,ZEROCC*SSDL
13.7929944557286,ZEROCC*SSBO
-0.810002022441491,ZEROCC*ZEROBT
-1.2517372724966,ZEROCC*SSBT
5.82968578058909,ZEROCC*SSBU
-0.875006098773547,ZEROCC*SSBC
-0.330394582576007,ZEROCC*ZEROBL
-10.0073709732215,ZEROCC*SSBL
-3.13502337038844,SSCC*SSRI
-0.895438859669498,SSCC*ZEROCH
-1.0324194835443,SSCC*ZEROCG
1.25774688578871,SSCC*SSBF
-2.36190678698054,SSCC*ZEROBT
-0.44355088769939,SSCC*ZEROBV
2.22645639385305,SSCC*ZEROBY
3.75776324123914,SSCC*SSDF
-5.59865101608176,SSCC*SSBA
11.1274122614779,ZERORI*SSCH
1.99111793388842,ZERORI*SSDP
23.8830734013405,ZERORI*SSCA
1.32932688240679,ZERORI*SSPC
0.982942483359679,ZERORI*ZEROPJ
-0.373797564107101,ZERORI*ZERODL
-1.52198292103522,ZERORI*SSDL
-0.854238342280942,ZERORI*SSBF
-3.64988201697087,ZERORI*ZEROBU
-0.628120214889349,ZERORI*SSBV
-0.762554577287976,ZERORI*SSBC
-3.25391843132949,ZERORI*SSBY
-0.720749649449195,ZERORI*ZEROBL
3.42698402044697,ZERORI*ZEROBP
2.57669517829215,SSRI*ZEROEL
6.31314185982357,SSRI*ZERODP
3.07719777580937,SSRI*ZEROBH
4.52889638136512,SSRI*SSCA
-13.7783390976091,SSRI*ZEROPC
31.7517111183596,SSRI*SSPJ
-7.67692868396137,SSRI*SSBO
-68.6854053031336,SSRI*SSBT
-14.9613939047997,SSRI*SSBV
60.4476698365856,SSRI*SSDF
-6.04271229057602,SSRI*ZEROBL
-306.666359806982,SSRI*SSBP
-163.022796713293,SSRI*ZEROBA
-16.2635025856566,ZEROEL*SSCA
-0.0497186572373939,ZEROEL*ZEROBY
-6.14640784825557,SSEL*ZEROCA
-20.143763113439,SSCH*ZEROBY
-49.9260038672095,SSDP*SSBY
-6.58428493647329,ZEROBH*ZEROCA
-6.66419369819883,ZEROBH*ZEROBV
-0.823409123080265,ZEROBH*ZEROBY
-135.38395180134,SSBH*ZEROBV
2.72314442261201,ZEROPJ*ZEROBA
-0.202809436109867,ZEROCG*ZEROBY
-9.98465761128275,ZEROCG*SSBY
-2.82050282736749,ZEROBF*SSBT
-5.11552879206844,SSBT*SSBL
-1.43590932718166,ZEROBU*ZEROBY
